"","age","rater","video","stimulus","sex","trial","corr"
"291","M72",3,"M72_S11_f_NI","Nothing","f",6,1
"292","M48",4,"M48_S15_m_NI","Nothing","m",1,0
"293","M48",4,"M48_S06_m_NI","Nothing","m",2,1
"294","M48",4,"M48_S08_f_NI","Nothing","f",1,1
"295","M48",4,"M48_S13_f_NI","Nothing","f",2,1
"296","M48",4,"M48_S07_f_NI","Nothing","f",3,1
"297","M48",4,"M48_S02_f_NI","Nothing","f",4,1
"298","M72",4,"M72_S04_m_NI","Nothing","m",1,1
"299","M72",4,"M72_S02_m_NI","Nothing","m",2,1
"300","M72",4,"M72_S09_m_NI","Nothing","m",3,1
"301","M72",4,"M72_S08_m_NI","Nothing","m",4,1
"302","M72",4,"M72_S12_m_NI","Nothing","m",5,0
"303","M72",4,"M72_S11_f_NI","Nothing","f",1,1
"304","M72",4,"M72_S10_f_NI","Nothing","f",2,1
"305","M72",4,"M72_S06_f_NI","Nothing","f",3,0
"306","M72",4,"M72_S07_f_NI","Nothing","f",4,1
"307","M72",4,"M72_S05_f_NI","Nothing","f",5,1
"308","M72",4,"M72_S03_f_NI","Nothing","f",6,1
"309","M72",4,"M72_S08_m_FA","Bike","m",1,1
"310","M72",4,"M72_S12_m_FA","Bike","m",2,1
"311","M72",4,"M72_S04_m_FA","Bike","m",3,1
"312","M72",4,"M72_S02_m_FA","Bike","m",4,1
"313","M72",4,"M72_S09_m_FA","Bike","m",5,1
"314","M72",4,"M72_S03_f_FA","Bike","f",1,1
"315","M72",4,"M72_S10_f_FA","Bike","f",2,0
"316","M72",4,"M72_S05_f_FA","Bike","f",3,1
"317","M72",4,"M72_S07_f_FA","Bike","f",4,0
"318","M72",4,"M72_S06_f_FA","Bike","f",5,1
"319","M72",4,"M72_S11_f_FA","Bike","f",6,1
"320","M48",4,"M48_S15_m_FA","Bike","m",1,1
"321","M48",4,"M48_S06_m_FA","Bike","m",2,1
"322","M48",4,"M48_S01_m_FA","Bike","m",3,1
"323","M48",4,"M48_S05_m_FA","Bike","m",4,0
"324","M48",4,"M48_S02_f_FA","Bike","f",1,0
"325","M48",4,"M48_S07_f_FA","Bike","f",2,1
"326","M48",4,"M48_S13_f_FA","Bike","f",3,1
"327","M48",4,"M48_S10_f_FA","Bike","f",4,1
"328","M48",4,"M48_S08_f_FA","Bike","f",5,1
"329","M48",4,"M48_S06_m_GA","Fork","m",1,0
"330","M48",4,"M48_S01_m_GA","Fork","m",2,0
"331","M48",4,"M48_S05_m_GA","Fork","m",3,1
"332","M48",4,"M48_S15_m_GA","Fork","m",4,1
"333","M72",4,"M72_S11_f_GA","Fork","f",1,0
"334","M72",4,"M72_S06_f_GA","Fork","f",2,1
"335","M72",4,"M72_S03_f_GA","Fork","f",3,1
"336","M72",4,"M72_S05_f_GA","Fork","f",4,0
"337","M72",4,"M72_S07_f_GA","Fork","f",5,1
"338","M72",4,"M72_S10_f_GA","Fork","f",6,1
"339","M72",4,"M72_S09_m_GA","Fork","m",1,1
"340","M72",4,"M72_S12_m_GA","Fork","m",2,1
"341","M72",4,"M72_S04_m_GA","Fork","m",3,1
"342","M72",4,"M72_S08_m_GA","Fork","m",4,1
"343","M72",4,"M72_S02_m_GA","Fork","m",5,1
"344","M48",4,"M48_S08_f_GA","Fork","f",1,0
"345","M48",4,"M48_S10_f_GA","Fork","f",2,1
"346","M48",4,"M48_S13_f_GA","Fork","f",3,0
"347","M48",4,"M48_S07_f_GA","Fork","f",4,1
"348","M48",4,"M48_S02_f_GA","Fork","f",5,1
"349","M48",4,"M48_S05_m_HA","Hammer","m",1,1
"350","M48",4,"M48_S04_m_HA","Hammer","m",2,1
"351","M48",4,"M48_S15_m_HA","Hammer","m",3,1
"352","M48",4,"M48_S01_m_HA","Hammer","m",4,1
"353","M48",4,"M48_S06_m_HA","Hammer","m",5,1
"354","M72",4,"M72_S12_m_HA","Hammer","m",1,0
