"","age","rater","group","stimulus","phase","day","sex","trial","effort","corr"
"110","M72",4,"M72_d2_S11_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,1,0
"111","M72",4,"M72_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,0,1
"112","M72",4,"M72_d2_S03_f_EN_first.wmv","Duck","Spontaneous","Day2","f",4,0,1
"113","M72",4,"M72_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,0,1
"114","M72",4,"M72_d2_S06_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,0,1
"115","M72",5,"M72_d2_S05_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,0,1
"116","M72",5,"M72_d2_S11_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,1,0
"117","M72",5,"M72_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,0,1
"118","M72",5,"M72_d2_S06_f_EN_first.wmv","Duck","Spontaneous","Day2","f",4,0,1
"119","M72",5,"M72_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,0,1
"120","M72",5,"M72_d2_S03_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,0,1
"121","M72",6,"M72_d2_S11_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,1,0
"122","M72",6,"M72_d2_S06_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,0,0
"123","M72",6,"M72_d2_S05_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,1,0
"124","M72",6,"M72_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",4,1,1
"125","M72",6,"M72_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,0,1
"126","M72",6,"M72_d2_S03_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,1,0
"127","M72",7,"M72_d2_S05_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,1,0
"128","M72",7,"M72_d2_S03_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,0,1
"129","M72",7,"M72_d2_S06_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,1,0
